Total Population,ZIP,Traffic,Haz_Waste,Pollution_Burden,Linguistic_Isolation,Poverty,Housing_Burden
5882,95301,341.8464153,0.325,53.19,5.7,46.3,13.8
3098,95380,1112.702024,0.225,48.71,6.7,31.6,14.7
4513,92102,676.9679042,1.19,48.18,22.6,58.5,26.2
4693,90032,1075.886279,0.73,47.02,14.3,54.5,26.6
4260,91356,3650.347833,0.225,59.54,18.4,42.2,22.2
5425,93710,1946.817757,0.365,57.25,2.4,51.6,23.8
6133,94608,1454.943298,1.065,54.73,8.1,27,28.5
4664,92114,1061.520897,0.25,47.98,NA,21.3,18.1
5300,91762,527.9551737,0.395,46.35,4,27.2,26
15901,95348,443.1637127,0.285,48.37,3.9,51.1,14.6
3461,95814,383.0599725,1.16,52.05,7.4,45.1,12.1
3921,94609,1724.787365,2.415,51.42,10.1,42.9,18.6
4557,92507,833.728894,0.42,51.73,13,49.7,22.5
5243,90018,985.7699111,0.07,41.07,6.8,44.4,32
6311,92503,832.8125096,0.21,49.52,4.6,41.9,20.9
9349,95838,1611.256387,0.62,41.57,12.3,45.8,23.7
4798,91910,1316.634425,2.06,57.65,19.8,47.8,22.9
7430,94520,2997.02076,1.66,55.28,7.1,23.7,14.1
6089,95330,1523.097567,0.17,56.17,11.9,27.9,10.6
5177,95828,1051.482758,0.175,40.45,15,57.4,24.1
7061,93215,400.1985461,0.2,43.70,30,49.4,16.4
6819,90650,715.5412113,0.56,52.44,10.9,27.4,19.1
3197,90006,1272.219146,0.2,50.41,41.6,64.9,27.4
4219,92243,139.8408197,0.05,50.30,23.2,49.6,17.4
6174,90047,826.3230732,0.03,44.07,2,34.2,24.2
8342,93280,263.4216458,0.185,50.37,20.3,54.9,11
4107,90650,1927.113331,0.705,61.38,7.1,25.8,17.1
3532,93535,408.4206658,0.135,40.49,6.5,67.7,28.6
3385,91950,2006.881505,0.22,47.19,14.2,40.2,21.1
4883,91746,745.0627899,0.455,59.83,11.1,34.7,22.8
3560,91406,2906.344678,0.145,48.51,25.6,45.5,29.8
3018,94607,2257.882676,2.44,60.30,3.3,18.2,22
5021,90813,702.740856,0.19,42.26,19.9,58.4,34
5061,95991,895.9177459,0.54,48.17,10.2,61.6,22
6095,95131,2739.121583,14.645,58.56,30.2,33.6,16.4
5452,92618,2993.116418,0.655,66.48,9.1,24.9,30.6
3715,91702,2902.46772,0.81,61.89,5.9,29.3,17.3
8086,93041,498.9532875,0.1,55.04,6.7,47.3,18.3
5963,93285,139.6568448,0.1,44.01,NA,52.2,14.6
7130,93257,715.7732443,0.1,45.90,19.4,54.9,23.6
3971,90640,3256.1317,1.175,65.25,14.8,16.1,18.3
5357,90804,680.2342795,0.185,41.68,15.1,59.1,37.7
7077,92703,1090.538334,0.425,49.77,27,51,23
5587,91335,1123.751915,0.23,46.06,17.3,29,23.3
4139,90247,797.854782,1.03,49.03,10.5,34.8,26
3798,95240,435.8038296,0.215,43.18,36.9,61.6,23.1
5084,92324,2509.655226,0.25,54.52,7.1,25.5,11.7
7637,93620,161.8625617,0,44.80,15.8,45.3,11.9
11527,92377,1053.093765,1.01,62.48,5.5,21.3,9.7
3705,91731,1058.222752,0.2,56.06,31.3,46,28.1
4566,91335,1216.453675,0.185,44.84,21.5,31.8,23
2834,90304,1110.320049,0.16,46.60,27.1,50.7,23.7
6856,92021,778.3507072,0.635,49.90,8,41.1,27.8
6601,92113,2186.127847,0.195,49.01,14,61.2,29.8
7168,95815,437.5081916,0.32,40.06,14.5,60.3,38.4
3687,91343,1291.579203,0.11,51.43,14.6,68.3,41.5
7591,93636,484.9711882,0.125,45.72,11.1,36.2,12.8
2562,90004,890.981226,0.06,47.53,24.3,59.6,32.2
7723,93543,508.9984664,0.1,40.58,12.4,50.4,28.3
5756,95833,1512.740567,2.625,52.75,7.3,39.2,17.8
5321,90715,1887.781961,0.045,52.94,6.7,30.6,25
3299,91770,2806.173264,0.12,61.09,24.9,29.7,19.3
4628,90201,609.3405311,0.085,60.63,16,48.4,23.7
3964,90242,979.7314601,1.22,63.11,14.6,48.8,21.8
5588,90620,1354.218051,0.415,55.92,14,39.6,21.5
4377,91325,1081.089913,0.33,51.22,11.1,37.5,28.9
3583,93550,1185.658464,0.125,38.37,11.3,68.5,39.6
7275,95076,723.731723,0.12,50.32,36.4,55.6,26.5
2363,90007,1184.396045,0.33,45.47,19.6,71.6,41.2
6879,91311,968.736984,2.735,58.93,19.3,36.9,28
2939,92404,1054.161993,0.395,44.15,5.1,52.1,32.4
4453,90028,1584.225836,0.385,56.33,10.1,40,27.7
7261,92407,1450.84442,0.41,51.43,3.4,40.4,17
3335,90047,1013.053315,0.18,43.90,10.6,35.9,40.7
2414,90706,966.3893321,0.31,45.84,11.8,38.5,26.9
6367,91335,880.738931,0.28,49.56,10.7,30.5,26.5
7991,94578,2726.551899,0.79,53.98,18.2,40.7,14.2
5499,95334,642.9179706,0.05,53.08,17.7,44.9,13.3
4585,95341,257.4377676,0.065,40.88,20.9,75.8,18.2
11473,92336,884.0604824,0.305,49.26,11.9,37.8,22.3
7795,92394,1320.875009,0.125,44.62,4.7,47.4,17
2816,91401,1034.154566,0.26,51.13,19.8,49.6,21.9
5260,90650,1044.94295,0.32,48.68,18.1,37.4,17.3
6262,90242,1947.121716,0.365,53.63,10.3,37.4,23.5
4412,93309,1184.439263,0.265,43.18,7.4,55.3,24.1
3543,90019,1030.397324,0.95,52.75,17.1,29.8,23.6
5579,91306,980.6782301,0.2,45.03,25,42.8,14.8
5273,91761,3117.341277,0.41,64.30,3.7,36.3,14.1
6054,91331,1030.061688,0.15,54.53,13.7,22.6,21.4
1655,90255,826.0340175,0.16,45.35,18.3,65.7,26.9
3317,90043,843.8931695,0.42,50.35,6.1,23.4,23.1
3679,91342,1528.996943,0.065,54.04,13.5,48.5,26.7
6384,90755,1388.515461,1.255,60.04,6,32.9,16.3
7863,90745,2507.967272,3.865,65.30,6.8,20.3,10.7
6179,92570,2115.90664,0.075,50.19,10.8,51.3,25.4
6700,92301,475.7519112,0.2,36.23,10.1,71.1,37.6
3132,93727,747.3294747,0.02,44.62,10.1,59.8,19.6
7107,91950,1184.734667,9.81,67.06,14,39.3,20.9
6071,92806,2195.470881,0.49,56.54,10,35.2,21.9
4645,91406,1154.54112,0.52,56.50,9.8,32.9,14.1
4677,95204,756.8005656,0.905,47.26,15,36.3,16.4
3017,90043,645.8372524,0.25,40.57,9.4,49.2,36.4
4414,90027,1008.189973,1.925,50.64,30.9,46.1,23
5997,95825,825.9940067,0.605,41.30,11.5,53.2,28.3
3409,92220,1981.20508,0.375,46.13,9.4,66.1,24.8
3141,95337,451.5062915,0.255,45.23,NA,60.5,21.1
2638,91702,825.1275942,0.395,47.51,12.7,32.1,17.3
6635,95330,1371.716586,0.55,58.31,5.1,22.3,11.9
4780,91911,723.6218575,0.57,50.09,5.3,29.8,23.7
6193,91764,2433.186432,0.06,53.64,7,32.7,17.2
3536,93710,1580.215833,0.41,51.85,9.5,28.1,9.3
6866,95841,2682.766878,0.285,48.97,9.2,46.9,24.8
5441,91331,1482.035379,0.15,49.37,22.2,48.7,28.7
5330,94509,928.1914488,0.15,41.66,10.6,46.1,28.6
8427,93203,306.1977388,0.46,54.20,21.9,62.7,15.5
14401,93274,484.0234852,0.605,64.18,5.6,25.7,6.9
4581,92505,3097.85776,0.935,57.77,7.6,38.7,18.9
5747,92335,359.0209972,0.03,43.64,8.7,68.5,24.1
6561,94565,1438.987565,0.13,46.87,14.3,32.9,20.8
3584,90005,682.2628755,0.28,51.73,41,59.3,29.9
2460,95122,2395.507618,0.63,49.94,50.8,40.1,25.4
3730,90706,1463.709185,0.085,50.21,16.5,34.4,24.4
6782,91768,1877.637171,0.47,66.19,8,22.3,18.1
3169,91706,471.9295896,0,55.35,15.2,49.7,14
7541,93219,882.6688951,0.1,46.49,58.2,70.3,26.3
2196,90045,1500.07216,9.415,61.35,9.3,36.2,28.3
5103,95818,1837.81064,0.75,60.25,4,52.2,12.2
4762,93268,226.5455103,0.125,41.54,25.2,74.2,19.8
3842,94124,455.6153875,2.685,47.23,20,27.4,16
3376,90006,1215.12494,0.145,50.90,49.6,55.9,22.3
2579,95670,2484.175732,0.135,52.67,8.9,52.7,18.7
898,92806,2391.143118,17.11,65.64,1,21.9,23.7
5449,90241,1084.670724,0.82,57.03,12.2,39.5,19.4
5749,93247,436.9558487,0,45.70,37.3,58.9,28.2
5617,91706,432.4948544,0.17,54.04,16.6,29.5,16.7
7118,95988,320.7135514,0.55,49.32,9.6,49.4,17.8
4745,90062,1043.388944,0.11,44.21,12.9,41.5,25.1
6840,93306,402.8865511,0.21,39.31,22.9,71.2,25.7
7963,95361,683.2094856,0.3,56.95,3.1,27.8,18.6
6637,90745,714.6450648,0.98,49.03,11.6,31.3,15.5
2926,91331,2495.507189,0.485,68.07,15,27.1,20.3
4498,90032,982.9639699,0.5,46.69,16.6,43.9,22.4
5178,92020,1375.303994,0.245,48.85,17.3,36.8,27.8
7261,93036,1271.915397,0.515,51.90,19.1,45.1,22.9
4516,91203,950.4286559,1.07,62.42,29.8,29.5,34.9
2806,90006,1275.751133,0.11,45.93,41.9,64.2,33.1
4618,91306,969.0943277,0.17,43.57,21.3,37.4,27.1
3394,93501,233.8849147,0.46,39.71,12,58.6,19.8
8442,92404,589.506988,0.25,45.67,6.7,46,17.4
7178,94565,865.2033495,0.45,42.15,8.8,41.4,25.3
8718,93610,931.7219258,0.11,51.19,13.7,52.3,15.3
5477,92105,1076.413395,0.2,43.00,33.4,61.9,39.3
4832,90710,1252.657326,0.31,51.81,17.8,32.3,19.3
7395,95376,1195.492106,0.545,56.65,8.5,37.1,15.6
2284,90710,1008.754749,0.57,54.58,20,42.3,23.5
7075,92805,597.765098,2.475,57.05,9.8,26,23.4
5119,94589,1848.141819,0.735,43.93,6.9,36.8,28.5
5290,90019,923.7156716,0.96,63.67,0.4,40.7,28.8
3859,90019,1171.41166,1,49.83,13.9,45,38
5430,91205,680.0681361,0.175,45.26,40.8,43.6,38.7
2437,93308,227.6502766,1.08,52.29,1.3,28.8,19.9
2381,90301,833.4412194,1.22,48.83,4.9,27.4,27.3
4035,93247,230.5538425,0.2,56.73,18.6,50.9,12.8
5473,92553,743.6756268,0.06,39.02,12.4,57.7,22.9
4594,90631,1276.630018,0.5,58.70,14.6,24,32.3
2240,90280,870.9833651,0.06,42.39,26.6,53.1,34.9
2278,93550,1208.975748,0.025,38.56,13.2,84.8,47.5
2345,95333,268.0885878,0,46.82,16.7,51.5,11.6
8458,93630,400.8057303,0.35,50.90,12.1,42.2,19.6
4019,91205,935.0530291,0.42,51.07,50.7,56.8,36.6
7788,94401,2160.954889,2.475,56.70,24.7,45.2,21.8
2404,95020,837.5408527,1.385,58.71,12.4,26.1,16.2
4246,90280,699.0196831,0.12,43.97,34.2,42.3,29
2583,95814,364.7284032,1.095,52.04,0.9,47.7,20.4
5174,90802,1003.198846,0.845,58.34,3.2,15,18.6
4874,90744,788.0491453,0.42,53.61,17.8,27.3,19.9
8751,92801,1071.120645,0.3,56.76,12.4,33.7,26.6
2873,91502,1967.129859,1.045,72.72,7.5,25.1,23.7
4965,95824,655.4447531,0.5,37.87,33.9,62.4,28.2
1243,94607,906.461293,2.355,50.72,28.1,63,22.7
4723,90807,2137.245058,0.32,55.39,3.4,19.9,26.8
6818,92236,642.8274967,0.42,43.15,50,48.8,28.1
2645,92347,416.6872209,0.9,45.84,2.1,40.7,17.1
5754,90062,1030.044854,0.11,46.97,7.4,47.5,35.8
3945,90304,669.4993487,0.07,45.46,30.2,32,19.1
5485,93638,522.143059,0.125,38.06,28.5,74.2,23.1
3834,91767,431.7699785,0.06,45.14,11.6,33.3,21.9
4635,93247,586.7100374,0.1,49.56,51.8,75.4,15.5
3726,95215,209.0797929,0.125,42.43,17,53.6,15.6
8339,93307,506.5873628,0.175,40.74,8.9,62.1,16.2
4817,94601,622.9669463,0.135,43.96,33.2,55.3,29.7
4109,91803,937.3144456,0.28,57.32,33.8,54.2,25.2
4299,94509,1012.700646,0.225,38.17,8.2,62.6,32.3
5684,91324,1341.243314,0.76,58.92,5.2,26,28.2
6550,91306,1076.933687,1.705,61.54,11,22.4,12.2
3048,92373,649.8080979,2.545,56.00,3.2,44.8,24.2
3163,90004,1068.850299,0.635,59.60,23.4,56.5,26.1
4448,93705,564.2982723,0.1,40.93,9.1,61.2,35.5
2797,91345,2123.368674,0.37,53.33,10.1,27.2,24.7
10535,93638,385.652247,0.075,44.31,6.1,35.9,20
2654,94590,350.1277777,0.3,47.41,8.2,43.5,21.3
7558,93612,1088.928319,0.52,46.56,7.1,49.7,24
3476,91744,1032.197867,0.02,53.71,15.6,23.2,8
3663,94590,1155.500678,0.33,41.25,12.6,36.2,25.9
2977,90027,946.4740916,0.4,43.14,23.6,38.4,27.2
3034,95203,326.2035731,0,45.46,NA,39,10.7
6340,92509,604.2554397,0.17,49.36,11.1,32.5,13.3
5082,90710,1180.402406,0.765,55.98,15,27.8,28.4
2065,95367,469.5347673,0.3,55.92,11.9,51.9,15.4
5400,93306,519.5319761,0.035,38.96,29.5,77.3,23.3
4991,93612,801.4239951,0.97,49.65,4.5,44.7,16.1
5112,92376,1226.506912,0.4,48.03,6,34.3,13.7
5382,91010,1738.685958,1.725,61.26,14.7,36.1,20.8
6373,91325,1181.421554,0.735,61.37,18.2,35.1,21.8
5896,95350,578.9671713,0.525,57.74,4.1,26.7,22
4151,91206,1386.349203,0.21,52.38,39.3,44.6,33.4
10676,94571,287.8902401,1.9,51.57,4.1,27.2,14.8
5577,91730,877.4044225,0.645,50.39,7.1,33.4,22.8
6173,94589,1226.190149,0.11,38.98,9.7,37.3,26.6
5592,90806,1472.888178,0.46,62.20,4.7,42.3,11.4
4369,91801,916.0461296,0.345,58.18,23.8,38.1,33.1
8192,91206,2260.811557,0.535,56.25,34.1,27.7,33.1
6984,93033,907.309902,0.86,56.60,14.2,45.3,23.8
8155,95824,649.8866859,0.17,39.23,16.5,67,25.3
4480,94612,637.0573432,1.86,49.43,13,45.5,22.4
3486,91801,947.4952051,0.105,55.56,28.5,42.6,30.2
4067,90019,1102.413226,0.72,54.35,28.9,47.5,29.4
2631,90065,739.4212147,0.2,56.41,15,39.5,20
2789,91702,676.0286152,1.27,56.10,13.9,41.5,16
2029,95826,2158.941906,0.025,40.20,6.7,67.9,27.3
2106,94533,818.6749569,0.27,41.82,6.2,46.4,30.4
5218,93550,614.0491316,0.11,35.55,8.8,78,40.6
4797,92551,553.6124915,3.02,47.53,14.1,30.3,11.8
5243,92243,908.7761586,1.21,41.36,13.2,50.8,14.7
4477,92324,2224.283607,0.185,55.28,NA,40.8,14.2
3707,95826,2190.33321,0.84,51.75,5.5,71.1,43.9
9735,92404,314.2642099,0.06,41.77,2.4,40.6,30.1
4141,95112,1071.243873,0.66,52.04,19.7,42.2,22.8
6381,91748,2167.40133,1.22,71.98,37.7,35.3,24.6
4472,94501,1011.03674,3.43,52.91,6.7,32.8,13.8
7835,93313,1097.067037,0.895,49.45,6.6,55.2,16.4
5019,92843,2664.329718,0.37,45.42,27.8,35,27.5
3119,91342,1741.756484,0.12,42.07,12.3,68.8,37.4
10765,92231,540.5683456,0.03,44.03,42.1,39.4,15.8
4886,95020,1747.125276,0.33,45.85,9.8,33.3,27.5
6567,91502,1498.622136,2.3,68.86,23.4,39.7,33
4652,95380,325.8358265,0.225,53.56,8.5,33.1,19.8
10015,93204,376.1187825,0.1,44.10,30.3,67.6,21.6
3080,90640,1722.653217,0.47,69.44,10.4,17.1,17.8
9138,92553,1157.487053,0.345,42.13,9.8,39.8,24
3735,91405,1048.798265,0.045,47.69,15.7,42.3,26.6
6654,92831,540.4649528,3.695,64.94,4.3,40,18.2
2403,92504,271.8796248,0.31,58.71,12.3,52.4,16.8
1703,92102,1047.224191,1.8,55.23,14,47.9,37.4
6923,93705,838.3676469,0.395,44.43,3.6,52.5,20.6
5096,90065,1477.231049,0.265,57.35,7.5,29.6,16.6
5745,93221,338.5611749,0.125,47.53,18.8,53.8,17.1
4344,91786,630.6953195,0.095,48.14,8.9,45.5,26.2
3837,95307,764.6118406,0.21,44.93,6.4,42.5,25.1
1526,95374,225.802718,0,49.47,NA,58.7,19
4547,91331,772.63019,0.125,47.11,9.1,34.9,17.4
2425,95341,1095.374323,0.46,51.62,7,34.7,21.4
6151,91340,474.1705785,0.67,49.80,13.4,34.9,22.3
4917,95122,4780.572058,0.145,42.67,30.8,55.2,26.6
4326,94590,418.8513054,0.5,37.23,NA,51,30.3
4109,95301,920.2925858,0.1,49.59,12.2,35.6,7.6
4052,90026,812.3080413,0.16,56.46,9.5,24,21.9
13319,92394,1197.314662,0.435,38.81,12.9,63.6,28.7
3662,90631,699.8633001,0.235,53.24,9,40.6,15.2
5288,92704,1367.329958,0.345,47.12,29.3,60.2,27.4
4056,94520,3167.539218,0.385,48.96,14.2,34.7,20.1
5229,93727,968.0997023,0,42.03,16.3,63.5,23.8
6471,93638,779.7706042,0.135,49.75,4.3,33.6,10.2
5204,90605,741.1810334,0.06,50.72,7.5,34.3,24
1843,90806,914.8430107,1.465,56.13,7.1,40.8,20.8
4284,92376,666.4146482,0.135,43.11,7.9,47.1,13
2942,94606,324.2109418,0.185,41.26,25.4,46.3,29.8
4006,93309,958.6630741,0.345,43.16,7.2,52.5,25.5
4501,93505,217.5773096,1.65,45.38,0,55.8,10.9
7091,94303,1798.483642,2.345,51.01,8.4,30,28.7
3195,90019,1091.163876,0.99,54.22,17.8,51.8,29.9
4454,90028,1781.690134,0.545,56.93,7.4,30,22.9
3118,90016,753.0939127,0.335,48.79,3.1,63.1,33
1521,93252,99.96696716,0.85,49.57,8,60.5,13.3
2181,91502,2027.100551,1.725,63.92,29.6,52.6,30
3367,95821,1021.949513,0.32,43.14,3.7,55.1,29.1
5324,91343,2745.076287,0.505,60.25,8.1,26.5,19.8
4423,95340,499.1499476,0.03,42.98,8.8,50.4,21.2
3674,94102,726.5055315,2.87,42.73,37.9,56.4,20.7
9934,92703,906.6777698,1.55,55.35,28.4,41.3,22.2
8439,95358,767.9156023,0.4,49.71,14.8,34.3,17.7
5766,93111,1106.481464,1.26,56.48,10.6,38.8,17.3
5519,95827,2050.485934,0.475,49.89,10,54.7,21.4
4309,92316,2369.454072,0.5,53.98,16.4,52.1,12.8
3052,91601,1051.128305,0.335,59.07,7.1,38.2,28.4
3689,95928,1091.910965,0.42,57.65,0.9,51.4,26.8
5084,90302,782.0846437,0.395,44.37,4.4,35.3,24.9
5942,91303,911.9347794,0.35,53.46,8.4,26.1,22.3
5240,91763,2205.89889,0.235,50.65,13.4,33.8,19.4
3042,91304,1026.456359,0.36,50.07,10.8,27.7,22.3
10201,95361,599.6024807,0.325,55.60,3.1,39,14.9
5193,94509,691.1693811,0.31,44.35,14.6,23.3,26.2
3358,92704,942.3963937,1.03,54.25,12.9,32.4,30.1
4819,92802,2416.295498,0.11,49.27,12.2,44.4,27.1
4192,92780,6166.939835,0.195,48.32,15.1,53.7,36.4
5433,91790,1810.624244,0.08,54.85,6.5,37.1,17.2
6878,95991,824.0219329,0.32,46.77,12.8,46.4,20.3
2506,91911,1017.62893,0.32,45.46,18.2,45.7,22.7
4773,91746,704.5256911,0.52,59.35,21.5,28.8,19.4
3221,90020,1426.912014,0.175,47.83,39.2,44.4,34.3
7837,93292,131.6779724,0,50.80,19.1,57.1,20.4
8053,94066,1098.858229,0.525,51.50,12,23.6,27.4
5833,92335,459.7379702,0.51,43.13,10.4,54.1,24.4
9292,93637,385.7610715,0.87,53.00,10.2,22.8,7.6
3230,92173,820.8891584,0.1,41.94,21.9,54,23.9
3279,92105,495.9428671,0.675,49.97,7.8,36,21.3
4984,92844,2837.704776,0.06,47.60,25.6,48,28.5
4147,90047,748.6045308,0.02,43.46,0,22.5,28.1
4349,93534,1095.019653,0.71,41.80,6,50.5,24.5
10032,91761,400.8270937,0.82,57.42,2,22.9,22.1
4748,90260,1332.893178,0.455,48.79,14.4,41.7,25.4
6353,95336,1205.695572,0.05,45.72,4.5,27.5,14.6
11600,93637,717.0412399,0.685,50.24,11,27.4,10.8
6018,91606,2509.978931,0.05,52.77,10.6,32.5,27.3
2422,90006,1250.225218,0.175,53.12,45.3,70.1,29.2
6569,95388,398.5312183,0,42.33,24.6,54.6,8.6
4038,93309,1111.776569,0.45,45.07,7,56.9,20.3
7403,90241,1416.165243,3.405,65.56,10.5,24.8,11.2
6076,95363,475.3017389,2.4,64.14,9,37.3,9.6
7970,93307,396.9748742,0.175,41.02,17.4,58.2,21
4248,90007,1075.691946,0.4,48.14,26.6,85.4,34.8
2471,90744,1759.781629,0.205,56.40,12.4,25,15.9
6468,90670,4576.566753,0.31,60.86,4.5,23.8,19.1
5237,90280,623.9751068,0.405,55.10,16.4,48,17.9
2084,90016,505.076388,0.42,47.62,10.8,21.9,12.9
6332,92236,340.8937977,2.11,41.92,66.1,59.2,38.4
5127,91764,1680.91825,0.645,52.61,9.6,35.3,18.1
4639,92867,707.5459158,9.12,65.90,15.8,45.9,21.3
8222,92335,598.8818755,0.125,48.37,5.8,36.4,17.2
6770,90706,1747.20538,0.47,54.38,5,30.6,13.9
6120,95207,1454.51669,0.08,49.97,7.3,34.4,13.3
4681,91950,2797.182011,0.26,43.24,18.1,45.3,33.1
4257,91744,408.6201904,0.185,50.27,19.3,38.9,20.6
6282,93306,340.1768214,0.635,39.57,24.6,77.7,27.7
2471,94608,590.0743735,1.05,48.46,10.3,28.2,23.3
3503,91744,624.3019362,0.355,51.81,8.2,32.4,11.9
4131,91945,793.6119539,0.51,52.73,7.4,36.2,16
6858,93245,329.1952735,0.5,49.31,2.9,39.1,19.2
4163,90042,1046.113703,0.05,44.64,20.3,42,26.8
3756,90706,700.2997104,0.335,47.67,1.8,28.7,26.7
5214,91745,2614.665,0.32,65.62,20.1,25.1,20.9
2276,90019,1275.539339,0.395,49.86,32.8,43.7,30.3
5635,90020,956.4438281,0.695,52.49,34,45.1,27.2
1372,93033,513.325559,0.465,57.56,10.6,52.6,12.2
7156,90650,1150.627718,0.49,49.18,10.6,39.8,19.2
3221,90670,942.5171091,2.82,62.80,16.9,43.5,25.3
4839,94134,1374.457732,1.51,59.69,14,28.5,14.7
4367,92376,646.5722178,0.315,48.05,2.5,26.3,18.8
5098,95824,663.2406414,0.15,36.87,20.9,56.9,32
4514,94806,564.1224362,0.245,40.94,24.2,35.2,16.4
3216,90027,923.724974,1.12,45.19,14.7,41.7,41
4859,90006,1299.531172,0.03,47.79,43.1,59,37
2587,90280,712.1971929,0.66,46.88,26.1,67.9,28.3
2890,91402,904.8160579,0.11,48.25,24.6,45.4,17.9
4192,95301,314.1158948,0.3,42.06,9.7,51.2,22.6
14848,92251,421.7207522,0.725,55.25,6.4,22.1,9.9
7725,92801,1807.054137,0.605,61.90,14.2,33.1,27
4281,95348,1032.818771,0.135,42.28,8.1,63.1,28.6
5087,91710,551.1675583,0.615,45.20,9.9,54.8,15.9
6839,91766,374.0009255,0.135,43.54,21.8,52.3,29.4
3551,92503,661.5178315,0.2,48.72,4.7,37,19.2
3378,92553,660.36922,0.05,40.60,8.7,48.7,17.8
4546,91342,607.7508307,1.295,54.29,13.6,40.9,24.3
4405,90047,850.7356014,0.04,41.91,4.3,35.1,32.7
4484,95116,3020.454171,1.26,38.93,34.4,37.2,34.4
6772,92704,1115.725839,2.5,57.86,23.9,61.7,16.9
4659,91306,1024.987094,0.29,44.90,7.2,27.7,20.5
4040,95354,519.3432188,0.32,42.99,12.9,46.8,23.3
4331,90018,1129.428904,0.08,42.62,19,42.7,30.3
5602,95116,2809.592955,0.72,42.26,31.5,41.5,26.6
6719,92704,1044.551831,9.755,58.90,5.9,37.4,15.4
5436,91710,629.4401377,0.315,50.46,14.9,28.1,18.7
3551,91601,1173.706129,0.31,54.10,11.7,47.2,32.6
6367,94103,1455.396848,6.575,53.07,13.9,41.8,21
5920,91730,586.1049809,1.135,51.78,9.3,33.4,19.6
4795,91405,983.484226,0.255,54.31,29.2,44,25.6
4013,94063,1946.473033,2.255,49.86,12,21.8,29.9
6604,91786,643.0600692,0.855,45.75,9.5,34.3,28.2
3862,94520,2352.270923,1.3,57.07,4.4,25.6,19.6
7293,91761,2614.723358,0.385,57.86,4.5,11,8
5926,92395,1350.779155,0.125,38.30,2.4,55.8,23.5
4151,90804,594.5183704,0.305,43.38,19,58.4,43.6
4370,92503,713.9781396,0.155,44.52,9,36.3,18.5
4831,92543,812.2722,0.2,36.85,8.8,62.8,26.3
4930,90605,799.4834342,0.39,46.30,9,38.6,25.8
7903,92707,860.9388195,0.585,53.51,17.6,37.2,19
5422,93223,323.0892297,0.1,39.05,25.7,72.5,15.6
4401,94134,2622.192032,0.17,47.47,30.6,32.7,21.5
4537,93550,657.7226195,0.11,36.17,27.9,59.2,24.7
3909,90031,5312.817073,0.1,70.95,16.4,35.9,16.5
5614,93309,992.9420012,0.435,45.95,8.2,51,20.7
3547,92309,395.5536382,0.71,46.89,5.1,45.2,14.2
4084,94124,481.8566565,1.195,46.30,19.3,24.9,18.8
5508,91710,2557.252059,0.75,56.96,10.4,24,16.4
7653,94509,1306.769001,0.625,40.88,1.5,35.7,24
4188,90650,1089.667383,0.435,51.48,6.4,26.6,14.8
4495,90631,954.7254228,0.11,49.29,13.3,37.6,25.6
5408,90680,1514.35404,0.945,57.79,24.7,42.9,36.3
2952,93210,280.0076217,2.51,49.96,10.6,47.7,6.2
5224,91343,1142.81,0.12,47.92,18,20.8,21.2
4130,93705,625.4576796,0.32,41.91,NA,44.8,21.5
5110,90716,924.8748639,0.225,46.06,22.3,47.3,30
3809,95351,291.2031523,0.11,34.98,23.8,70.9,26.1
3836,91746,3681.798287,0.445,68.17,9.9,24.8,13.8
5629,94565,618.9909989,0.625,43.71,19.4,44.7,24.6
5742,92683,2196.946644,0.555,58.09,17.6,37.2,22.4
5486,92551,524.3191738,1.07,43.17,12.9,46.4,17.1
3701,91801,1144.574806,0.08,51.30,21.4,33,20.9
7415,93618,435.4173226,0.25,46.94,6.1,43.3,13.3
4468,94801,792.1810124,4.23,48.41,10.8,47.6,17.1
4426,91762,1997.493273,0.37,58.39,5.8,24.7,16.8
2580,94590,394.99466,0.62,40.66,0,49.8,34.9
4074,93203,157.9554974,0.325,44.41,38.5,63.6,14.5
6054,91331,1567.364184,0.125,45.27,14.8,42.9,23.9
4719,95301,951.3636701,0.1,49.65,14.5,47.2,13
4868,91910,712.6737984,1.525,44.25,17.5,44.1,27.3
7897,92655,1800.620427,0.355,53.25,26.6,32.7,24
6447,92801,1243.560973,2.735,54.19,11.3,39.9,24.6
4688,93612,1086.985104,0.05,47.83,1.9,53,20
7601,91340,605.5623644,1.085,47.05,10.1,31.4,16.8
7823,92833,2003.907154,0.33,56.69,17,39.7,23.4
4099,92102,2071.856893,0.145,48.65,16.5,57.6,30.6
3949,95407,1502.58429,0.28,41.86,16.7,46.1,28.7
4977,93308,994.4472383,0.825,43.05,3.4,42.9,23.5
3053,93230,455.8485721,0.11,53.43,15.3,14,7.6
2731,93234,466.2861927,0.2,47.03,34,76.2,11.6
4566,95821,770.3474565,0.45,43.43,6.4,39,30
8468,95111,1063.299546,0.475,41.13,31.6,45.2,28.3
6399,91010,479.507877,0.42,62.06,12.2,29.7,17.8
8444,94080,1093.674026,5.22,53.70,18.8,28.5,18.8
1697,93066,862.6019554,1.275,54.15,13.9,38.9,21.4
7844,93610,659.0017754,0.2,53.06,4,57,18.4
3064,95330,344.1117472,0.8,54.34,9.8,25.9,14.8
5245,94063,536.1992385,1.58,47.62,13.6,37.5,25.3
3495,90242,1900.527143,0.36,51.52,9.6,25.8,19.2
5269,90004,2053.536003,0.01,51.68,36.1,51.8,24.7
