Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG
29,77,87,76,11,8,4,0,2,3,2,1,5,33,0.105,0.209,0.237
30,26,68,56,6,6,2,0,0,0,1,0,10,24,0.107,0.254,0.143
30,17,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108
30,14,44,37,1,4,0,0,0,2,0,2,5,13,0.108,0.214,0.108
28,17,41,36,5,4,0,1,0,0,1,1,5,25,0.111,0.220,0.167
22,11,22,18,0,2,0,0,0,1,0,0,2,8,0.111,0.190,0.111
26,11,19,18,1,2,0,0,0,2,0,0,1,7,0.111,0.158,0.111
25,7,22,18,3,2,0,0,1,6,0,0,2,3,0.111,0.182,0.278
24,5,9,9,0,1,0,0,0,0,0,0,0,4,0.111,0.111,0.111
25,22,38,35,3,4,0,0,0,3,0,2,2,12,0.114,0.158,0.114
22,11,36,35,3,4,1,0,1,1,0,0,1,12,0.114,0.139,0.229
32,22,59,52,4,6,2,0,1,1,0,0,6,17,0.115,0.207,0.212
35,34,88,78,6,9,2,0,1,3,1,0,8,40,0.115,0.205,0.179
27,31,73,61,7,7,2,0,0,4,1,0,7,27,0.115,0.250,0.148
30,15,45,43,2,5,2,0,0,1,1,0,2,23,0.116,0.156,0.163
26,8,17,17,1,2,0,0,0,0,0,0,0,9,0.118,0.118,0.118
28,8,17,17,1,2,2,0,0,1,0,0,0,9,0.118,0.118,0.235
27,28,61,58,9,7,1,0,3,6,1,0,1,21,0.121,0.148,0.293
32,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212
27,14,41,33,3,4,1,0,0,2,0,0,6,10,0.121,0.244,0.152
25,13,34,33,0,4,1,0,0,3,0,0,1,10,0.121,0.147,0.152
29,109,117,105,18,13,5,0,2,5,3,2,5,45,0.124,0.207,0.229
27,4,9,8,0,1,0,0,0,1,0,0,1,2,0.125,0.222,0.125
33,16,50,40,7,5,1,0,1,3,0,0,9,14,0.125,0.300,0.225
23,6,9,8,0,1,1,0,0,1,0,0,1,2,0.125,0.222,0.250
31,11,8,8,1,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125
33,3,10,8,0,1,0,0,0,0,0,0,2,3,0.125,0.300,0.125
27,6,17,16,2,2,0,0,1,4,1,0,0,4,0.125,0.118,0.313
29,22,57,56,1,7,2,0,0,1,0,0,0,19,0.125,0.140,0.161
27,16,36,32,1,4,1,0,0,2,0,0,3,11,0.125,0.222,0.156
34,17,57,48,2,6,1,0,1,3,0,0,6,23,0.125,0.263,0.208
30,16,46,39,4,5,1,0,0,4,0,0,5,12,0.128,0.239,0.154
30,11,35,31,2,4,1,0,0,2,0,0,3,9,0.129,0.229,0.161
24,18,50,46,4,6,1,0,0,2,0,0,3,19,0.130,0.184,0.152
30,10,26,23,4,3,0,1,1,4,0,0,3,2,0.130,0.231,0.348
23,15,41,38,3,5,0,0,1,5,0,0,1,12,0.132,0.150,0.211
33,8,21,15,0,2,0,0,0,0,0,0,6,4,0.133,0.381,0.133
27,22,62,52,7,7,3,0,1,3,0,0,9,8,0.135,0.274,0.250
27,7,26,22,2,3,1,0,0,2,0,0,2,14,0.136,0.231,0.182
27,18,53,44,7,6,3,0,1,2,0,0,8,6,0.136,0.283,0.273
27,25,60,59,3,8,2,0,2,5,0,0,0,17,0.136,0.136,0.271
25,14,31,29,4,4,1,0,2,6,0,0,1,12,0.138,0.194,0.379
27,22,57,50,2,7,0,0,0,6,0,0,6,17,0.140,0.228,0.140
26,15,54,50,3,7,0,0,0,3,5,0,4,20,0.140,0.204,0.140
22,54,181,163,20,23,5,1,7,17,5,2,16,61,0.141,0.221,0.313
26,5,15,14,0,2,0,0,0,0,0,0,0,5,0.143,0.200,0.143
26,4,15,14,0,2,0,0,0,0,0,0,0,5,0.143,0.200,0.143
31,10,8,7,1,1,0,0,0,0,3,0,0,3,0.143,0.143,0.143
27,12,33,28,2,4,1,0,0,3,1,0,4,8,0.143,0.250,0.179
25,15,35,28,2,4,0,0,0,4,0,0,5,8,0.143,0.314,0.143
27,8,11,7,2,1,1,0,0,0,0,0,3,1,0.143,0.400,0.286
30,14,42,35,4,5,1,0,0,4,0,0,5,9,0.143,0.262,0.171
26,18,62,56,6,8,0,0,3,5,0,0,5,19,0.143,0.226,0.304
23,9,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.250,0.143
25,30,77,70,8,10,0,0,2,6,0,0,4,27,0.143,0.184,0.229
26,39,103,91,7,13,1,0,1,4,0,0,10,26,0.143,0.228,0.187
30,8,25,21,3,3,0,0,0,1,0,0,4,4,0.143,0.280,0.143
29,6,16,14,2,2,0,0,0,3,0,0,2,6,0.143,0.250,0.143
35,5,17,14,1,2,0,0,0,2,0,0,1,1,0.143,0.235,0.143
30,12,40,35,3,5,1,0,1,4,0,0,4,9,0.143,0.231,0.257
28,83,225,201,22,29,6,0,5,15,7,0,16,94,0.144,0.217,0.249
26,56,127,117,13,17,4,0,5,17,1,0,8,33,0.145,0.197,0.308
31,13,37,34,3,5,0,0,2,3,0,1,3,13,0.147,0.216,0.324
28,75,208,184,21,27,4,0,5,14,7,0,16,85,0.147,0.225,0.250
33,37,99,95,8,14,2,0,3,9,0,0,2,36,0.147,0.173,0.263
31,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304
33,34,77,74,6,11,0,1,0,2,0,0,2,24,0.149,0.182,0.176
29,45,132,121,10,18,0,0,6,14,1,0,10,32,0.149,0.214,0.298
33,48,127,121,10,18,3,0,3,9,0,0,4,43,0.149,0.183,0.248
39,33,104,100,5,15,1,0,1,4,0,0,4,25,0.150,0.183,0.190
